,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,11132,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19715268.0,19715268.0,False,,1,,,,2024-06-22T10:14:00.000Z,64292.783656246276,20948588470.132473,-21.6803,0.05736443,0.54431196,-2.81369135,-7.77547798,-2.82254708,-0.98811073,1267549460248.9153,54.1246,1350148456781.17,,2024-06-22T10:14:00.000Z,,,,,,2024-06-22 12:15:07.907110
1,1027,Ethereum,ETH,ethereum,9078,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,122276217.18384786,122276217.18384786,True,,2,,,,2024-06-22T10:13:00.000Z,3493.380338283831,12709391495.983677,-21.4324,0.2856347,-0.35779336,-0.95232414,-8.62248795,10.08332866,3.6397622,427157332949.77765,18.2537,427157332949.78,,2024-06-22T10:13:00.000Z,,,,,,2024-06-22 12:15:07.907110
2,825,Tether USDt,USDT,tether,89309,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,112941691562.69733,116079124154.2462,True,,3,,,,2024-06-22T10:13:00.000Z,0.9993262927342155,43443464393.271904,-20.2951,-0.01100721,0.00922423,-0.00225197,-0.03712423,-0.10943833,-0.0970331,112865601924.48154,4.8203,116000920804.9,,2024-06-22T10:13:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-06-22 12:15:07.907110
3,1839,BNB,BNB,bnb,2186,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147566002.53657195,147566002.53657195,False,,4,,,,2024-06-22T10:13:00.000Z,587.0293704269925,1563528294.8835692,-12.1519,0.19608925,0.29928469,-3.17578458,-4.06144162,-3.07341518,5.55547678,86625577565.47182,3.6996,86625577565.47,,2024-06-22T10:13:00.000Z,,,,,,2024-06-22 12:15:07.907110
4,5426,Solana,SOL,solana,690,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,462002743.8079322,578616733.5247787,True,,5,,,,2024-06-22T10:13:00.000Z,134.32426726182243,1860465391.8178117,-14.4,0.29628853,1.35713947,-6.17226627,-23.67946244,-12.95291881,-23.12709927,62058180034.95196,2.6504,77722268756.15,,2024-06-22T10:13:00.000Z,,,,,,2024-06-22 12:15:07.907110
5,3408,USDC,USDC,usd-coin,19839,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,32748777283.76553,32748777283.76553,False,,6,,,,2024-06-22T10:13:00.000Z,0.9998799270364812,4670609023.250506,-17.0496,-0.01679379,-0.01503397,-0.01406321,-0.01505063,-0.01889937,-0.04091265,32744845041.02545,1.399,32744845041.03,,2024-06-22T10:13:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-06-22 12:15:07.907110
6,52,XRP,XRP,xrp,1342,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55618185850.0,99987512072.0,False,,7,,,,2024-06-22T10:14:00.000Z,0.4852692446029464,881369456.185771,-14.3154,0.16559809,-0.59778199,1.23598071,-7.75006662,-11.02597235,-23.17394333,26989795033.615784,1.1527,48526924460.29,,2024-06-22T10:14:00.000Z,,,,,,2024-06-22 12:15:07.907110
7,74,Dogecoin,DOGE,dogecoin,1009,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,144812726383.7052,144812726383.7052,True,,8,,,,2024-06-22T10:14:00.000Z,0.12394880431020405,485549083.82617193,-28.8599,0.37269508,-0.50977306,-9.04263326,-25.47456502,-21.8294904,-27.97838816,17949364284.161,0.7666,17949364284.16,,2024-06-22T10:14:00.000Z,,,,,,2024-06-22 12:15:07.907110
8,11419,Toncoin,TON,toncoin,430,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2458194596.721018,5107945036.572143,True,,9,3414166606.0,24558657526.56656,,2024-06-22T10:13:00.000Z,7.193163181728618,229600865.61419946,-16.8434,-0.00469559,0.77934384,-10.62619757,11.52493114,26.90859872,46.34865627,17682194866.657852,0.7552,36742282171.36,,2024-06-22T10:13:00.000Z,,,,,,2024-06-22 12:15:07.907110
9,2010,Cardano,ADA,cardano,1197,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35739637951.589,36980576545.153,False,,10,,,,2024-06-22T10:13:00.000Z,0.3764979985291138,243202587.7498539,-12.8131,0.38953224,-2.59451812,-8.31702958,-21.46352417,-27.40520594,-40.98845473,13455902156.928413,0.575,16942409933.81,,2024-06-22T10:13:00.000Z,,,,,,2024-06-22 12:15:07.907110
10,5994,Shiba Inu,SHIB,shiba-inu,833,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589271305284919.8,589519753442732.2,False,,11,,,,2024-06-22T10:13:00.000Z,1.8000000482536835e-05,239108694.78063414,-20.056,0.36308106,-0.05124265,-12.96930171,-28.90834634,-33.00546097,-35.65205698,10606883779.473667,0.4533,10611355846.43,,2024-06-22T10:13:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-06-22 12:15:07.907110
11,1958,TRON,TRX,tron,993,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87245317467.29118,87245325089.73541,True,,12,71659659264.0,8553870852.948269,,2024-06-22T10:13:00.000Z,0.11936800901376204,259849014.16456658,15.2194,0.16009794,1.92009078,3.76619341,1.13090416,6.39246686,1.84683735,10414299841.844145,0.4448,10414300751.72,,2024-06-22T10:13:00.000Z,,,,,,2024-06-22 12:15:07.907110
12,5805,Avalanche,AVAX,avalanche,747,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,393736013.6185786,443082383.6185786,False,,13,,,,2024-06-22T10:13:00.000Z,25.153718686540657,507832150.01115006,109.5051,-0.27869378,-9.70072886,-16.21751608,-37.12840749,-34.42613268,-53.19714589,9903924923.321667,0.4231,18003741927.98,,2024-06-22T10:13:00.000Z,,,,,,2024-06-22 12:15:07.907110
13,1975,Chainlink,LINK,chainlink,1796,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,608099970.4527867,1000000000.0,False,,14,,,,2024-06-22T10:13:00.000Z,13.646318017682546,282421990.9808336,0.3202,-0.06791525,-5.68507469,-8.56427728,-17.87453766,-11.36126741,-25.35978312,8298325583.342087,0.3544,13646318017.68,,2024-06-22T10:13:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-06-22 12:15:07.907110
14,6636,Polkadot,DOT,polkadot-new,784,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1437953431.368154,1437953431.368154,True,,15,1459928817.2211454,8336580388.5202675,,2024-06-22T10:14:00.000Z,5.710264973321277,149152191.05345336,-6.2162,0.56993099,0.70910989,-7.81676237,-23.48607341,-23.1577319,-37.86003881,8211095112.408711,0.3507,8211095112.41,,2024-06-22T10:14:00.000Z,,,,,,2024-06-22 12:15:07.907110
15,1831,Bitcoin Cash,BCH,bitcoin-cash,896,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19722793.75,19722793.75,False,,16,,,,2024-06-22T10:13:00.000Z,386.61242686974424,189997301.7413557,-19.0357,0.80808916,-1.14448288,-9.10008539,-23.55422638,-24.16731453,-14.99815396,7625077156.338923,0.3258,8118860964.26,,2024-06-22T10:13:00.000Z,,,,,,2024-06-22 12:15:07.907110
16,7083,Uniswap,UNI,uniswap,1047,2020-09-17T00:00:00.000Z,"['decentralized-exchange-dex-token', 'defi', 'dao', 'yield-farming', 'amm', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'governance', 'blockchain-capital-portfolio', 'defiance-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'parafi-capital', 'paradigm-portfolio', 'arbitrum-ecosytem', 'injective-ecosystem', 'optimism-ecosystem', 'cmc-crypto-awards-2024']",,599957294.71,1000000000.0,False,,17,,,1.15643737,2024-06-22T10:13:00.000Z,10.02645424042235,149653799.70838326,-16.1025,0.49687965,0.27663382,-7.82398512,5.29565197,25.01213757,-15.70790444,6015444361.617401,0.2569,10026454240.42,5201703562.71899,2024-06-22T10:13:00.000Z,1027.0,Ethereum,ETH,ethereum,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,2024-06-22 12:15:07.907110
17,6535,NEAR Protocol,NEAR,near-protocol,422,2020-08-11T00:00:00.000Z,"['platform', 'ai-big-data', 'staking', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'arrington-xrp-capital-portfolio', 'coinfund-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'kenetic-capital-portfolio', 'near-protocol-ecosystem', 'cross-chain', 'injective-ecosystem', 'circle-ventures-portfolio', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'account-abstraction', 'data-availability']",,1090571089.0,1196806127.0,False,,18,,,,2024-06-22T10:14:00.000Z,5.254621359951273,287684019.99332684,-29.7466,-0.41533909,-2.35941472,-6.32983754,-34.06265605,-26.79170491,-19.68062643,5730538138.804721,0.2447,6288763038.65,,2024-06-22T10:14:00.000Z,,,,,,2024-06-22 12:15:07.907110
18,3890,Polygon,MATIC,polygon,1406,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain', 'standard-crypto-portfolio']",,9904426498.844397,10000000000.0,False,,19,,,,2024-06-22T10:13:00.000Z,0.5663784283990476,189789532.1142571,-11.1612,0.25204377,-2.26300082,-5.62046643,-23.1854253,-22.42321686,-43.24101217,5609653514.609371,0.2397,5663784283.99,,2024-06-22T10:13:00.000Z,,,,,,2024-06-22 12:15:07.907110
19,2,Litecoin,LTC,litecoin,1203,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,74668787.3575049,84000000.0,False,,20,,,,2024-06-22T10:14:00.000Z,74.21255924243479,277879398.7452702,-20.7064,0.16408002,1.32972889,-5.63133379,-13.56327843,-12.31668017,-15.06822908,5541361805.329598,0.2367,6233854976.36,,2024-06-22T10:14:00.000Z,,,,,,2024-06-22 12:15:07.907110
0,1,Bitcoin,BTC,bitcoin,11132,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19715268.0,19715268.0,False,,1,,,,2024-06-22T10:15:00.000Z,64300.89444644993,20946417808.41305,-21.692,0.05888842,0.59110106,-2.80203864,-7.7506005,-2.79455597,-0.97111394,1267709366651.472,54.1314,1350318783375.45,,2024-06-22T10:15:00.000Z,,,,,,2024-06-22 12:16:09.399649
1,1027,Ethereum,ETH,ethereum,9078,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,122276217.18384786,122276217.18384786,True,,2,,,,2024-06-22T10:14:00.000Z,3493.3322303243967,12696231580.547585,-21.5584,0.29146071,-0.35485828,-0.95536804,-8.63096526,10.08657734,3.69316879,427151450490.48157,18.2394,427151450490.48,,2024-06-22T10:14:00.000Z,,,,,,2024-06-22 12:16:09.399649
