,name,percent_change,values
0,Bitcoin,1H,0.10550332166666666
1,Bitcoin,24H,0.6032759
2,Bitcoin,7D,-2.797171345
3,Bitcoin,30D,-7.7645026816666665
4,Bitcoin,60D,-2.7640479266666667
5,Bitcoin,90D,-0.9849014
6,Ethereum,1H,0.29689641166666664
7,Ethereum,24H,-0.2791491166666667
8,Ethereum,7D,-0.96481168
9,Ethereum,30D,-8.675488608333334
10,Ethereum,60D,10.114619945
11,Ethereum,90D,3.6995684916666662
12,Tether USDt,1H,-0.012482819999999999
13,Tether USDt,24H,0.002949685
14,Tether USDt,7D,0.0002651216666666667
15,Tether USDt,30D,-0.038535845000000006
16,Tether USDt,60D,-0.11150380333333333
17,Tether USDt,90D,-0.07552531666666666
18,BNB,1H,0.22720358333333332
19,BNB,24H,0.34698067833333335
20,BNB,7D,-3.190032508333333
21,BNB,30D,-4.08221277
22,BNB,60D,-3.072749676666666
23,BNB,90D,5.602528866666667
24,Solana,1H,0.28447709833333334
25,Solana,24H,1.526300185
26,Solana,7D,-6.2011142433333335
27,Solana,30D,-23.684936394999998
28,Solana,60D,-12.921475378333334
29,Solana,90D,-23.062117925
30,USDC,1H,-0.020487795
31,USDC,24H,-0.014924594999999999
32,USDC,7D,-0.009199373333333333
33,USDC,30D,-0.018303506666666667
34,USDC,60D,-0.022638055
35,USDC,90D,-0.01639184
36,XRP,1H,0.1777521883333333
37,XRP,24H,-0.57534372
38,XRP,7D,1.2110303583333333
39,XRP,30D,-7.747704905
40,XRP,60D,-10.991748608333333
41,XRP,90D,-23.078774136666667
42,Dogecoin,1H,0.3810421
43,Dogecoin,24H,-0.39718061499999996
44,Dogecoin,7D,-9.049969053333333
45,Dogecoin,30D,-25.475212433333336
46,Dogecoin,60D,-21.796333841666666
47,Dogecoin,90D,-27.969104084999998
48,Toncoin,1H,0.0006423949999999999
49,Toncoin,24H,0.8940978733333332
50,Toncoin,7D,-10.624411668333334
51,Toncoin,30D,11.440543126666666
52,Toncoin,60D,26.830619095000003
53,Toncoin,90D,46.38422258833333
54,Cardano,1H,0.42126815999999995
55,Cardano,24H,-2.5015391633333333
56,Cardano,7D,-8.28357235
57,Cardano,30D,-21.399167761666664
58,Cardano,60D,-27.365365609999998
59,Cardano,90D,-40.91161125833333
60,Shiba Inu,1H,0.3447727133333333
61,Shiba Inu,24H,0.039106065
62,Shiba Inu,7D,-13.002061421666667
63,Shiba Inu,30D,-28.90986097166667
64,Shiba Inu,60D,-32.948910520000005
65,Shiba Inu,90D,-35.609537605
66,TRON,1H,0.16351001833333334
67,TRON,24H,1.8895831066666666
68,TRON,7D,3.7888125116666664
69,TRON,30D,1.1180867616666668
70,TRON,60D,6.427401813333333
71,TRON,90D,1.8683296833333334
72,Avalanche,1H,-0.10307284166666668
73,Avalanche,24H,-9.535742846666666
74,Avalanche,7D,-16.231462301666667
75,Avalanche,30D,-37.10421427166667
76,Avalanche,60D,-34.362570291666664
77,Avalanche,90D,-53.096288683333334
78,Chainlink,1H,-0.04911267
79,Chainlink,24H,-5.572025205
80,Chainlink,7D,-8.577134111666666
81,Chainlink,30D,-17.848162393333336
82,Chainlink,60D,-11.322889308333332
83,Chainlink,90D,-25.309182273333334
84,Polkadot,1H,0.6645514866666666
85,Polkadot,24H,0.8343061083333333
86,Polkadot,7D,-7.807394315
87,Polkadot,30D,-23.476260253333333
88,Polkadot,60D,-23.080706891666665
89,Polkadot,90D,-37.809461819999996
90,Bitcoin Cash,1H,0.9114848333333333
91,Bitcoin Cash,24H,-0.9631070766666667
92,Bitcoin Cash,7D,-8.998237611666667
93,Bitcoin Cash,30D,-23.463785936666667
94,Bitcoin Cash,60D,-24.041913588333333
95,Bitcoin Cash,90D,-14.882479863333332
96,Uniswap,1H,0.39676716166666665
97,Uniswap,24H,0.22104503333333334
98,Uniswap,7D,-7.909979833333334
99,Uniswap,30D,5.216011203333333
100,Uniswap,60D,24.964407311666665
101,Uniswap,90D,-15.707050688333334
102,NEAR Protocol,1H,-0.33321312333333336
103,NEAR Protocol,24H,-2.1774664116666664
104,NEAR Protocol,7D,-6.351882116666666
105,NEAR Protocol,30D,-34.083049275
106,NEAR Protocol,60D,-26.620098338333335
107,NEAR Protocol,90D,-19.608613615
108,Polygon,1H,0.25388924166666665
109,Polygon,24H,-2.2069576933333335
110,Polygon,7D,-5.6193527083333334
111,Polygon,30D,-23.140350488333336
112,Polygon,60D,-22.38530381833333
113,Polygon,90D,-43.21712997666666
114,Litecoin,1H,0.31822722999999997
115,Litecoin,24H,1.57865536
116,Litecoin,7D,-5.4729999566666665
117,Litecoin,30D,-13.429645745
118,Litecoin,60D,-12.157627965000001
119,Litecoin,90D,-14.957302683333333
