customer_id,became_member_on,gender,age,income
68be06ca386d4c31939f3a4f0e3dd783,20170212,,118,
0610b486422d4921ae7d2bf64640c50b,20170715,F,55,112000
38fe809add3b4fcf9315a9694bb96ff5,20180712,,118,
78afa995795e4d85b5d9ceeca43f5fef,20170509,F,75,100000
a03223e636434f42ac4c3df47e8bac43,20170804,,118,
e2127556f4f64592b11af22de27a7932,20180426,M,68,70000
8ec6ce2a7e7949b1bf142def7d0e0586,20170925,,118,
68617ca6246f4fbc85e91a2a49552598,20171002,,118,
389bc3fa690240e798340f5a15918d5c,20180209,M,65,53000
8974fc5686fe429db53ddde067b88302,20161122,,118,
c4863c7985cf408faee930f111475da3,20170824,,118,
148adfcaa27d485b82f323aaaad036bd,20150919,,118,
2eeac8d8feae4a8cad5a6af0499a211d,20171111,M,58,51000
aa4862eba776480b8bb9c68455b8c2e1,20170911,F,61,57000
e12aeaf2d47d42479ea1c4ac3d8286c6,20140213,M,26,46000
31dda685af34476cad5bc968bdb01c53,20160211,F,62,71000
62cf5e10845442329191fc246e7bcea3,20141113,M,49,52000
744d603ef08c4f33af5a61c8c7628d1c,20170801,,118,
6445de3b47274c759400cd68131d91b4,20171231,M,57,42000
a448667f336b42c9a66fc5ffd5d73772,20180501,F,61,40000
440cf1fd7580490c971d8c651ed962af,20160504,F,40,71000
4b0da7e80e5945209a1fdddfe813dbe0,20170909,M,64,100000
c27e0d6ab72c455a8bb66d980963de60,20170616,F,78,71000
2b826eba31074a059d63b0ae8f50b7d5,20170907,,118,
f806632c011441378d4646567f357a21,20130811,M,42,69000
d058f73bf8674a26a95227db098147b1,20180428,F,56,88000
65aba5c617294649aeb624da249e1ee5,20170330,,118,
c6c9884912c645429f3333f912b55f44,20170926,F,33,52000
7429a044884842d6862f516c38b1156f,20170911,F,46,59000
ebe7ef46ea6f4963a7dd49f501b26779,20150121,M,59,41000
5917d13f6fa04286abdf95f4d5cefb1e,20140823,M,67,96000
d1ede868e29245ea91818a903fec04c6,20170916,O,53,52000
1e9420836d554513ab90eba98552d0a9,20170925,M,22,70000
868317b9be554cb18e50bc68484749a2,20171117,F,96,89000
f082d80f0aac47a99173ba8ef8fc1909,20160709,M,40,33000
102e9454054946fda62242d2e176fdce,20160814,F,69,57000
4beeb3ed64dd4898b0edf2f6b67426d3,20160707,,118,
8dabe2142cdf4013a6f4786edf8ab00f,20140511,M,56,68000
